City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Wajima,JP,37.4,136.9,74.25,67,95,17.9,overcast clouds
79,Sungaipenuh,ID,-2.0833,101.3833,65.77,99,100,2.15,light rain
80,Cockburn Town,TC,21.4612,-71.1419,82.92,69,0,15.93,clear sky
81,Poum,NC,-20.2333,164.0167,71.28,61,0,5.01,clear sky
82,New Norfolk,AU,-42.7826,147.0587,62.1,74,100,7.0,overcast clouds
83,Havre-Saint-Pierre,CA,50.2334,-63.5986,54.25,74,100,10.63,overcast clouds
84,Qaanaaq,GL,77.484,-69.3632,12.88,74,100,6.33,overcast clouds
85,Bilibino,RU,68.0546,166.4372,29.3,73,42,6.02,scattered clouds
86,Pacific Grove,US,36.6177,-121.9166,73.81,81,40,4.0,scattered clouds
87,Valparaiso,CL,-33.0393,-71.6273,51.44,76,0,4.61,clear sky
88,Bourail,NC,-21.5667,165.4833,75.6,45,0,4.45,clear sky
89,Lebanon,US,36.2081,-86.2911,72.16,78,1,0.0,clear sky
90,Ilulissat,GL,69.2167,-51.1,21.22,63,0,2.3,clear sky
91,Tabou,CI,4.423,-7.3528,76.89,88,28,7.11,light rain
92,Thompson,CA,55.7435,-97.8558,56.21,56,100,5.64,overcast clouds
93,Hobart,AU,-42.8794,147.3294,62.46,48,40,28.77,scattered clouds
94,Tasiilaq,GL,65.6145,-37.6368,37.56,67,100,4.85,overcast clouds
95,Rabo De Peixe,PT,37.8,-25.5833,65.71,72,40,9.22,scattered clouds
96,Hofn,IS,64.2539,-15.2082,51.76,87,10,16.58,clear sky
97,Punta Arenas,CL,-53.15,-70.9167,39.31,81,0,9.22,clear sky
98,Kenai,US,60.5544,-151.2583,58.03,69,0,7.31,clear sky
99,Mar Del Plata,AR,-38.0023,-57.5575,52.84,89,1,10.36,clear sky
100,Tiksi,RU,71.6872,128.8694,34.59,75,100,18.01,overcast clouds
101,Ribeira Grande,PT,38.5167,-28.7,68.22,67,100,8.81,overcast clouds
102,Chuy,UY,-33.6971,-53.4616,58.05,98,25,6.6,scattered clouds
103,Vinukonda,IN,16.05,79.75,80.02,74,100,0.69,overcast clouds
104,Pevek,RU,69.7008,170.3133,31.32,73,100,15.84,overcast clouds
105,Peniche,PT,39.3558,-9.3811,64.29,85,5,21.77,clear sky
106,Solnechnyy,RU,50.7214,136.6319,54.84,33,0,13.31,clear sky
107,Hasaki,JP,35.7333,140.8333,75.6,72,100,26.35,overcast clouds
