City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
482,Rawah,IQ,79.39,clear sky,34.4816,41.9093,ديوان الشيخ نامق محسن الراوي
483,Acapulco,MX,82.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
485,Cururupu,BR,76.21,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
487,Umred,IN,75.49,overcast clouds,20.85,79.3333,"Dr.Babasaheb Ambedkar Goverment Boys Hostel ,Umred"
488,Kavaratti,IN,81.57,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
489,Zabid,YE,86.65,few clouds,14.1951,43.3152,دار الضيافة
490,San Buenaventura,MX,85.12,clear sky,27.0833,-101.5333,Hotel Gran Plaza
492,Kochinda,IN,76.53,heavy intensity rain,21.7333,84.35,Shristi Lodge
493,Laguna,US,79.18,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
495,San Jose De Guanipa,VE,79.56,scattered clouds,8.8872,-64.1651,HOTEL 283 SUITES
497,Kirakira,SB,83.91,scattered clouds,-10.4544,161.9205,SanBiz Lodge
500,Saint George,US,80.94,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
503,Luxor,EG,79.2,clear sky,25.6989,32.6421,Iberotel Luxor
504,Tecoanapa,MX,80.17,overcast clouds,16.5167,-98.75,Hotel Manglares
512,Manaus,BR,79.29,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
515,Dapaong,TG,75.16,overcast clouds,10.8639,0.205,Hotel Caroli
523,Kavieng,PG,84.25,light rain,-2.5744,150.7967,Nusa Island Retreat
524,Mana,GF,79.25,overcast clouds,5.6592,-53.7767,LE SAMANA
527,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
530,Trincomalee,LK,78.93,overcast clouds,8.5711,81.2335,Welcombe Hotel
532,La Orilla,MX,79.39,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
534,Mindelo,CV,80.15,broken clouds,16.8901,-24.9804,Hotel Gaudi
537,Tabas,IR,77.86,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
539,Luz,BR,76.12,broken clouds,-19.8014,-45.6856,Hotel Turista
542,Texarkana,US,80.82,clear sky,33.4251,-94.0477,"Holiday Inn Express & Suites Texarkana, an IHG Hotel"
547,Bonthe,SL,76.95,light rain,7.5264,-12.505,Bonthe Holiday Village
548,Meadow Lake,US,84.9,few clouds,34.8014,-106.5436,TumbleWeed RV Park
549,Oussouye,SN,79.18,overcast clouds,12.485,-16.5469,Auberge du Routard
552,Shimoda,JP,76.98,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
554,Adrar,MR,85.66,broken clouds,20.5022,-10.0711,
562,San Patricio,US,86.72,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
569,Gatesville,US,88.48,clear sky,31.4352,-97.7439,Ramada by Wyndham Gatesville N. Fort Hood
570,Rock Sound,BS,83.43,clear sky,24.9,-76.2,Rock Sound Club
572,Shaoyang,CN,83.28,clear sky,27.2315,111.4525,IU Hotel Shaoyang Xihu Road
575,San Jose,US,75.11,few clouds,37.3394,-121.895,The Westin San Jose
576,Naze,JP,78.91,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
579,Wajir,KE,75.06,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
585,Pitman,US,77.58,clear sky,39.7329,-75.1316,Courtyard by Marriott Glassboro Rowan University
586,New Albany,US,80.69,overcast clouds,38.2856,-85.8241,Hampton Inn New Albany Louisville West
587,Lagunas,PE,78.6,scattered clouds,-5.2269,-75.6753,Hospedaje Eco
590,Acajutla,SV,80.46,broken clouds,13.5928,-89.8275,asi es
591,Elko,US,77.02,clear sky,41.0002,-115.5012,
592,Mogadishu,SO,76.93,few clouds,2.0371,45.3438,Hotel Juba
595,Mazatlan,MX,86.92,few clouds,23.2167,-106.4167,Hotel Playamar
596,Rondonopolis,BR,85.68,clear sky,-16.4708,-54.6356,Serras Hotel
597,Nizwa,OM,79.18,clear sky,22.9333,57.5333,Orient Apartments
600,Riberalta,BO,82.13,few clouds,-10.9833,-66.1,Hotel Colonial
602,Houma,US,80.01,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
607,Moussoro,TD,85.77,clear sky,13.6408,16.4901,Hôtel Maltina
608,Agadez,NE,83.73,broken clouds,19.75,10.25,
611,Kaohsiung,TW,87.04,few clouds,22.6163,120.3133,御宿商旅-中山館
613,Pandan,PH,78.58,heavy intensity rain,14.0453,124.1694,Bonifacio Lodge
614,Madang,PG,80.38,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
615,Quballat,TN,75.42,clear sky,36.5418,9.6633,
622,Aripuana,BR,76.39,moderate rain,-9.1667,-60.6333,
624,Guanica,PR,81.25,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
628,Salinopolis,BR,78.75,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
630,Alyangula,AU,82.02,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
631,Turbat,PK,80.28,broken clouds,26.0023,63.044,Mubashar Quarters
632,Pozo Colorado,PY,87.48,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
633,Marsh Harbour,BS,83.16,few clouds,26.5412,-77.0636,Abaco Beach Resort
634,Tagusao,PH,83.07,overcast clouds,9.1924,117.8141,Toledo
635,Sibolga,ID,77.04,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
637,Det Udom,TH,78.75,overcast clouds,14.906,105.0784,Chatsuda Resort
638,Labuhan,ID,82.27,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
639,Anito,PH,81.52,moderate rain,12.4497,125.2886,FELIPA LAODENIO PROPERTY
643,Alexandria,EG,77.32,clear sky,31.2156,29.9553,Royal Crown Hotel
648,Khartoum,SD,84.02,overcast clouds,15.5518,32.5324,Hotel China
651,Qandala,SO,88.34,broken clouds,11.472,49.8728,
654,Nieuw Amsterdam,SR,78.03,overcast clouds,5.8833,-55.0833,Globe Hotel
655,Presidencia Roque Saenz Pena,AR,80.4,overcast clouds,-26.7852,-60.4388,Hotel Gualok
657,Iranshahr,IR,84.52,clear sky,27.2025,60.6848,نیک سرشت
660,Stabat,ID,79.0,broken clouds,3.761,98.4513,Link VII damai
661,Bairiki,KI,87.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
662,Devarkonda,IN,78.03,overcast clouds,16.7,78.9333,Munurukapu sangam devarakonda
663,Dicabisagan,PH,85.64,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
667,Lodwar,KE,78.12,light rain,3.1191,35.5973,Solmar Gracious Hotel
668,Iralaya,HN,80.51,overcast clouds,15.0,-83.2333,Iglesia morava renovada
669,Cairns,AU,84.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
670,Koulikoro,ML,77.76,clear sky,14.0,-7.75,
673,Sterling,US,77.29,few clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
674,Biak,ID,79.43,overcast clouds,-0.9131,122.8766,Penginapan Kim
681,Butte,US,76.78,light rain,39.6499,-121.5677,Meadowbrook Oaks Mobile Home Park
682,Syracuse,IT,79.9,few clouds,37.0881,15.2792,Hotel Posta
685,Qom,IR,75.56,clear sky,34.6401,50.8764,Qom Hotel
688,Celestun,MX,81.99,scattered clouds,20.8667,-90.4,Posada Lilia
690,Papara,BR,79.2,clear sky,-3.9839,-38.7273,Romin
692,Puri,IN,79.32,heavy intensity rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
693,Lagos,NG,76.35,broken clouds,6.5833,3.75,
